"lon" "lat" "date" "t_max"
15.7499 50.7499 1950-06-24 12.5699997190386
15.7499 50.7499 1950-06-25 15.5599996522069
15.7499 50.7499 1950-06-26 15.5399996526539
15.7499 50.7499 1950-06-27 12.3999997228384
15.7499 50.7499 1950-06-28 16.4599996320903
15.7499 50.7499 1950-06-29 20.6099995393306
15.7499 50.7499 1950-06-30 26.4399994090199
15.7499 50.7499 1950-07-01 21.1199995279312
15.7499 50.7499 1950-07-02 21.8299995120615
15.7499 50.7499 1950-07-03 22.0699995066971
15.7499 50.7499 1950-07-04 24.6299994494766
15.7499 50.7499 1950-07-05 23.7999994680285
15.7499 50.7499 1950-07-06 17.8699996005744
15.7499 50.7499 1950-07-07 18.6199995838106
15.7499 50.7499 1950-07-08 17.1399996168911
15.7499 50.7499 1950-07-09 19.4899995643646
15.7499 50.7499 1950-07-10 22.4999994970858
15.7499 50.7499 1950-07-11 16.7799996249378
15.7499 50.7499 1950-07-12 14.049999685958
15.7499 50.7499 1950-07-13 15.5799996517599
15.7499 50.7499 1950-07-14 19.7499995585531
15.7499 50.7499 1950-07-15 14.8499996680766
15.7499 50.7499 1950-07-16 15.9399996437132
15.7499 50.7499 1950-07-17 21.9899995084852
15.7499 50.7499 1950-07-18 20.1999995484948
15.7499 50.7499 1950-07-19 18.7799995802343
15.7499 50.7499 1950-07-20 19.7299995590001
15.7499 50.7499 1950-07-21 22.4699994977564
15.7499 50.7499 1950-07-22 24.9399994425476
15.7499 50.7499 1950-07-23 21.4699995201081
15.7499 50.7499 1950-07-24 13.5399996973574
15.7499 50.7499 1950-07-25 16.2799996361136
15.7499 50.7499 1950-07-26 19.1399995721877
15.7499 50.7499 1950-07-27 18.2099995929748
15.7499 50.7499 1950-07-28 17.509999608621
15.7499 50.7499 1950-07-29 15.8899996448308
15.7499 50.7499 1950-07-30 14.1799996830523
15.7499 50.7499 1950-07-31 17.19999961555
15.7499 50.7499 1950-08-01 18.0799995958805
15.7499 50.7499 1950-08-02 19.809999557212
15.7499 50.7499 1950-08-03 14.4599996767938
15.7499 50.7499 1950-08-04 12.8199997134507
15.7499 50.7499 1950-08-05 13.4499996993691
15.7499 50.7499 1950-08-06 16.7999996244907
15.7499 50.7499 1950-08-07 14.2099996823817
15.7499 50.7499 1950-08-08 14.5899996738881
15.7499 50.7499 1950-08-09 18.1499995943159
15.7499 50.7499 1950-08-10 18.8399995788932
15.7499 50.7499 1950-08-11 22.5099994968623
15.7499 50.7499 1950-08-12 20.1399995498359
15.7499 50.7499 1950-08-13 19.0099995750934
15.7499 50.7499 1950-08-14 20.3099995460361
15.7499 50.7499 1950-08-15 18.4099995885044
15.7499 50.7499 1950-08-16 21.3899995218962
15.7499 50.7499 1950-08-17 20.1499995496124
15.7499 50.7499 1950-08-18 17.1199996173382
15.7499 50.7499 1950-08-19 17.4099996108562
15.7499 50.7499 1950-08-20 18.1199995949864
